"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","disease state:ch1","tissue:ch1"
"IPF_5476","IPF_5476","GSM7296257","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586481","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220690","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296257/suppl/GSM7296257_IPF_5476_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5477","IPF_5477","GSM7296258","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586480","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220691","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296258/suppl/GSM7296258_IPF_5477_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5478","IPF_5478","GSM7296259","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586479","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220692","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296259/suppl/GSM7296259_IPF_5478_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5479","IPF_5479","GSM7296260","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586478","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220693","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296260/suppl/GSM7296260_IPF_5479_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5480","IPF_5480","GSM7296261","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586477","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220694","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296261/suppl/GSM7296261_IPF_5480_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5481","IPF_5481","GSM7296262","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586476","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220695","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296262/suppl/GSM7296262_IPF_5481_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5482","IPF_5482","GSM7296263","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586475","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220696","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296263/suppl/GSM7296263_IPF_5482_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5483","IPF_5483","GSM7296264","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586474","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220697","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296264/suppl/GSM7296264_IPF_5483_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5484","IPF_5484","GSM7296265","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586473","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220698","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296265/suppl/GSM7296265_IPF_5484_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"IPF_5485","IPF_5485","GSM7296266","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: idiopathic pulmonary fibrosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586472","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220699","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296266/suppl/GSM7296266_IPF_5485_count.tsv.gz","idiopathic pulmonary fibrosis","lung"
"Normal_5446","Normal_5446","GSM7296267","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586471","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220700","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296267/suppl/GSM7296267_Normal_5446_count.tsv.gz","normal","lung"
"Normal_5447","Normal_5447","GSM7296268","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586470","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220701","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296268/suppl/GSM7296268_Normal_5447_count.tsv.gz","normal","lung"
"Normal_5448","Normal_5448","GSM7296269","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586469","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220702","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296269/suppl/GSM7296269_Normal_5448_count.tsv.gz","normal","lung"
"Normal_5449","Normal_5449","GSM7296270","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586468","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220703","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296270/suppl/GSM7296270_Normal_5449_count.tsv.gz","normal","lung"
"Normal_5450","Normal_5450","GSM7296271","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586467","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220704","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296271/suppl/GSM7296271_Normal_5450_count.tsv.gz","normal","lung"
"Normal_5451","Normal_5451","GSM7296272","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586466","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220705","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296272/suppl/GSM7296272_Normal_5451_count.tsv.gz","normal","lung"
